key,value,date
mentira-la-verdad,0,2013-05-01
mentira-la-verdad,825,2013-06-01
mentira-la-verdad,946,2013-07-01
mentira-la-verdad,903,2013-08-01
mentira-la-verdad,759,2013-09-01
mentira-la-verdad,195,2013-10-01
mentira-la-verdad,0,2013-11-01
mentira-la-verdad,0,2013-12-01
mentira-la-verdad,368,2014-01-01
mentira-la-verdad,405,2014-02-01
mentira-la-verdad,483,2014-03-01
mentira-la-verdad,437,2014-04-01
mentira-la-verdad,103,2014-05-01
mentira-la-verdad,0,2014-06-01
mentira-la-verdad,0,2014-07-01
mentira-la-verdad,0,2014-08-01
mentira-la-verdad,276,2014-09-01
mentira-la-verdad,406,2014-10-01
mentira-la-verdad,361,2014-11-01
mentira-la-verdad,449,2014-12-01
mentira-la-verdad,409,2015-01-01
mentira-la-verdad,377,2015-02-01
mentira-la-verdad,493,2015-03-01
mentira-la-verdad,305,2015-04-01
mentira-la-verdad,33,2015-05-01
mentira-la-verdad,0,2015-06-01
mentira-la-verdad,0,2015-07-01
mentira-la-verdad,340,2015-08-01
mentira-la-verdad,366,2015-09-01
mentira-la-verdad,372,2015-10-01
mentira-la-verdad,251,2015-11-01
mentira-la-verdad,212,2015-12-01
mentira-la-verdad,7,2016-01-01
mentira-la-verdad,0,2016-02-01
mentira-la-verdad,194,2016-03-01
mentira-la-verdad,309,2016-04-01
mentira-la-verdad,304,2016-05-01
mentira-la-verdad,333,2016-06-01
mentira-la-verdad,344,2016-07-01
mentira-la-verdad,369,2016-08-01
mentira-la-verdad,376,2016-09-01
mentira-la-verdad,436,2016-10-01
el-informe-kliksberg,0,2013-05-01
el-informe-kliksberg,0,2013-06-01
el-informe-kliksberg,0,2013-07-01
el-informe-kliksberg,295,2013-08-01
el-informe-kliksberg,404,2013-09-01
el-informe-kliksberg,385,2013-10-01
el-informe-kliksberg,316,2013-11-01
el-informe-kliksberg,369,2013-12-01
el-informe-kliksberg,71,2014-01-01
el-informe-kliksberg,0,2014-02-01
el-informe-kliksberg,333,2014-03-01
el-informe-kliksberg,319,2014-04-01
el-informe-kliksberg,356,2014-05-01
el-informe-kliksberg,369,2014-06-01
el-informe-kliksberg,337,2014-07-01
el-informe-kliksberg,431,2014-08-01
el-informe-kliksberg,371,2014-09-01
el-informe-kliksberg,59,2014-10-01
el-informe-kliksberg,0,2014-11-01
el-informe-kliksberg,38,2014-12-01
el-informe-kliksberg,326,2015-01-01
el-informe-kliksberg,300,2015-02-01
el-informe-kliksberg,447,2015-03-01
el-informe-kliksberg,346,2015-04-01
el-informe-kliksberg,396,2015-05-01
el-informe-kliksberg,237,2015-06-01
el-informe-kliksberg,436,2015-07-01
el-informe-kliksberg,398,2015-08-01
el-informe-kliksberg,239,2015-09-01
el-informe-kliksberg,313,2015-10-01
el-informe-kliksberg,336,2015-11-01
el-informe-kliksberg,297,2015-12-01
el-informe-kliksberg,22,2016-01-01
el-informe-kliksberg,0,2016-02-01
el-informe-kliksberg,0,2016-03-01
el-informe-kliksberg,0,2016-04-01
el-informe-kliksberg,0,2016-05-01
el-informe-kliksberg,0,2016-06-01
el-informe-kliksberg,351,2016-07-01
el-informe-kliksberg,353,2016-08-01
el-informe-kliksberg,320,2016-09-01
el-informe-kliksberg,350,2016-10-01
grandes-de-nuestra-cultura,374,2013-05-01
grandes-de-nuestra-cultura,408,2013-06-01
grandes-de-nuestra-cultura,434,2013-07-01
grandes-de-nuestra-cultura,204,2013-08-01
grandes-de-nuestra-cultura,0,2013-09-01
grandes-de-nuestra-cultura,0,2013-10-01
grandes-de-nuestra-cultura,0,2013-11-01
grandes-de-nuestra-cultura,0,2013-12-01
grandes-de-nuestra-cultura,0,2014-01-01
grandes-de-nuestra-cultura,0,2014-02-01
grandes-de-nuestra-cultura,174,2014-03-01
grandes-de-nuestra-cultura,179,2014-04-01
grandes-de-nuestra-cultura,7,2014-05-01
grandes-de-nuestra-cultura,0,2014-06-01
grandes-de-nuestra-cultura,0,2014-07-01
grandes-de-nuestra-cultura,0,2014-08-01
grandes-de-nuestra-cultura,0,2014-09-01
grandes-de-nuestra-cultura,0,2014-10-01
grandes-de-nuestra-cultura,0,2014-11-01
grandes-de-nuestra-cultura,363,2014-12-01
grandes-de-nuestra-cultura,348,2015-01-01
grandes-de-nuestra-cultura,11,2015-02-01
grandes-de-nuestra-cultura,0,2015-03-01
grandes-de-nuestra-cultura,0,2015-04-01
grandes-de-nuestra-cultura,430,2015-05-01
grandes-de-nuestra-cultura,482,2015-06-01
grandes-de-nuestra-cultura,471,2015-07-01
grandes-de-nuestra-cultura,421,2015-08-01
grandes-de-nuestra-cultura,0,2015-09-01
grandes-de-nuestra-cultura,27,2015-10-01
grandes-de-nuestra-cultura,121,2015-11-01
grandes-de-nuestra-cultura,45,2015-12-01
grandes-de-nuestra-cultura,141,2016-01-01
grandes-de-nuestra-cultura,154,2016-02-01
grandes-de-nuestra-cultura,404,2016-03-01
grandes-de-nuestra-cultura,104,2016-04-01
grandes-de-nuestra-cultura,0,2016-05-01
grandes-de-nuestra-cultura,0,2016-06-01
grandes-de-nuestra-cultura,407,2016-07-01
grandes-de-nuestra-cultura,307,2016-08-01
grandes-de-nuestra-cultura,183,2016-09-01
grandes-de-nuestra-cultura,208,2016-10-01
en-su-justa-medida,0,2013-05-01
en-su-justa-medida,0,2013-06-01
en-su-justa-medida,0,2013-07-01
en-su-justa-medida,0,2013-08-01
en-su-justa-medida,0,2013-09-01
en-su-justa-medida,0,2013-10-01
en-su-justa-medida,0,2013-11-01
en-su-justa-medida,0,2013-12-01
en-su-justa-medida,0,2014-01-01
en-su-justa-medida,0,2014-02-01
en-su-justa-medida,0,2014-03-01
en-su-justa-medida,0,2014-04-01
en-su-justa-medida,350,2014-05-01
en-su-justa-medida,475,2014-06-01
en-su-justa-medida,448,2014-07-01
en-su-justa-medida,289,2014-08-01
en-su-justa-medida,0,2014-09-01
en-su-justa-medida,0,2014-10-01
en-su-justa-medida,0,2014-11-01
en-su-justa-medida,0,2014-12-01
en-su-justa-medida,363,2015-01-01
en-su-justa-medida,377,2015-02-01
en-su-justa-medida,15,2015-03-01
en-su-justa-medida,0,2015-04-01
en-su-justa-medida,415,2015-05-01
en-su-justa-medida,442,2015-06-01
en-su-justa-medida,359,2015-07-01
en-su-justa-medida,15,2015-08-01
en-su-justa-medida,0,2015-09-01
en-su-justa-medida,0,2015-10-01
en-su-justa-medida,0,2015-11-01
en-su-justa-medida,205,2015-12-01
en-su-justa-medida,56,2016-01-01
en-su-justa-medida,0,2016-02-01
en-su-justa-medida,0,2016-03-01
en-su-justa-medida,0,2016-04-01
en-su-justa-medida,0,2016-05-01
en-su-justa-medida,299,2016-06-01
en-su-justa-medida,215,2016-07-01
en-su-justa-medida,239,2016-08-01
en-su-justa-medida,200,2016-09-01
en-su-justa-medida,274,2016-10-01
proyecto-g,387,2013-05-01
proyecto-g,382,2013-06-01
proyecto-g,375,2013-07-01
proyecto-g,376,2013-08-01
proyecto-g,334,2013-09-01
proyecto-g,341,2013-10-01
proyecto-g,270,2013-11-01
proyecto-g,30,2013-12-01
proyecto-g,684,2014-01-01
proyecto-g,687,2014-02-01
proyecto-g,781,2014-03-01
proyecto-g,725,2014-04-01
proyecto-g,96,2014-05-01
proyecto-g,0,2014-06-01
proyecto-g,0,2014-07-01
proyecto-g,0,2014-08-01
proyecto-g,0,2014-09-01
proyecto-g,0,2014-10-01
proyecto-g,0,2014-11-01
proyecto-g,0,2014-12-01
proyecto-g,317,2015-01-01
proyecto-g,339,2015-02-01
proyecto-g,381,2015-03-01
proyecto-g,246,2015-04-01
proyecto-g,11,2015-05-01
proyecto-g,0,2015-06-01
proyecto-g,0,2015-07-01
proyecto-g,251,2015-08-01
proyecto-g,303,2015-09-01
proyecto-g,368,2015-10-01
proyecto-g,48,2015-11-01
proyecto-g,0,2015-12-01
proyecto-g,0,2016-01-01
proyecto-g,0,2016-02-01
proyecto-g,0,2016-03-01
proyecto-g,0,2016-04-01
proyecto-g,0,2016-05-01
proyecto-g,0,2016-06-01
proyecto-g,0,2016-07-01
proyecto-g,0,2016-08-01
proyecto-g,334,2016-09-01
proyecto-g,46,2016-10-01
la-ruta-de-las-especias,0,2013-05-01
la-ruta-de-las-especias,0,2013-06-01
la-ruta-de-las-especias,0,2013-07-01
